person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
25,44000,1.0,15000,14.59,0.34,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
36,27600,1.0,4000,11.86,0.14,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,51395,11.0,15000,10.99,0.29,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
26,62000,1.0,5200,15.96,0.08,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
27,98000,3.0,11750,13.47,0.12,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
21,30000,0.0,1500,13.92,0.05,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
21,38400,5.0,5000,10.59,0.13,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
33,48000,5.0,14400,12.42,0.3,10,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
23,44400,3.0,6500,7.51,0.15,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
22,90000,6.0,10200,11.71,0.11,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
25,34000,0.0,10000,12.87,0.29,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,90000,7.0,16000,12.18,0.18,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
26,39516,0.0,5000,7.74,0.13,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
28,120000,0.0,1000,7.12,0.01,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
25,84000,5.0,9000,11.36,0.11,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24,82500,8.0,10000,5.79,0.12,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
22,37800,7.0,7200,10.99,0.19,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
22,67500,1.0,7500,9.76,0.11,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
27,107450,11.0,24000,20.86,0.22,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
35,71500,1.0,19200,10.99,0.27,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26,48000,0.0,6000,16.45,0.13,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
33,44004,4.0,9275,7.29,0.21,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
29,33000,0.0,6000,15.23,0.18,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
51,500000,1.0,20000,10.37,0.04,19,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
23,72000,7.0,5600,11.12,0.08,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
24,55152,8.0,16000,11.49,0.29,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
25,45000,0.0,15000,13.48,0.33,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
28,140000,3.0,12000,9.91,0.09,10,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
25,50500,4.0,15000,11.14,0.3,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
28,75000,6.0,20000,13.49,0.27,5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
26,30000,0.0,5000,10.38,0.17,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
28,90000,0.0,15000,7.88,0.17,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
25,74500,3.0,6000,9.99,0.08,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
33,45000,17.0,10800,7.51,0.24,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
27,64000,3.0,18000,11.11,0.28,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
34,120000,4.0,7800,10.99,0.07,9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
23,28800,2.0,5000,13.11,0.17,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
29,126000,10.0,24250,16.7,0.19,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
29,39000,6.0,7100,8.32,0.18,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
36,200000,12.0,25000,15.2,0.13,13,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
26,47000,8.0,12500,8.49,0.27,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
24,55400,8.0,11000,7.29,0.2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
24,53636,8.0,4000,10.62,0.07,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24,105000,2.0,9850,9.63,0.09,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
22,40800,6.0,7975,5.79,0.2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
35,60000,2.0,4000,6.03,0.07,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,150000,5.0,12000,10.37,0.08,12,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
29,58000,4.0,14000,6.62,0.24,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
23,55000,2.0,10800,8.88,0.2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,50000,5.0,5000,12.69,0.1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
33,612000,3.0,5950,12.73,0.01,10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
28,100000,7.0,18000,13.92,0.18,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
25,48000,7.0,15000,10.25,0.31,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
22,25200,0.0,1000,11.48,0.04,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
22,200000,6.0,9000,6.17,0.04,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,75000,10.0,5000,9.91,0.07,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
24,56000,2.0,5250,12.87,0.09,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
23,50000,6.0,6400,20.2,0.13,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
22,49920,6.0,10000,11.14,0.2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,22000,4.0,2500,7.14,0.11,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
31,56000,3.0,12000,6.54,0.21,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
21,50350,3.0,3600,7.88,0.07,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
23,32000,7.0,3500,15.27,0.11,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
21,4200,3.0,2750,16.95,0.65,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
44,95000,4.0,10000,10.95,0.11,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
29,33600,3.0,4800,5.79,0.14,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
31,56000,4.0,7000,7.29,0.13,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
27,200000,6.0,10000,7.51,0.05,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
23,46800,4.0,13000,8.59,0.28,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
30,68000,11.0,6000,10.59,0.09,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
31,45000,1.0,14000,13.06,0.31,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25,40000,9.0,2400,5.42,0.06,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
25,24000,0.0,7000,9.63,0.29,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
24,61289,8.0,2000,11.49,0.03,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
23,55000,4.0,8000,9.25,0.15,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24,50000,1.0,4000,7.88,0.08,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
24,30000,9.0,2400,13.11,0.08,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,88000,8.0,8000,10.38,0.09,12,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
27,61500,3.0,6000,10.99,0.1,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
22,65004,4.0,15000,16.95,0.23,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
22,96000,6.0,17000,11.48,0.18,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
29,57600,1.0,6000,9.91,0.1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,33600,2.0,1000,10.36,0.03,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
23,34000,7.0,10950,7.29,0.32,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
27,235000,5.0,28000,15.96,0.12,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
22,179000,2.0,25000,10.99,0.14,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
21,35100,1.0,3500,5.79,0.1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
39,73882,17.0,7000,9.91,0.09,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,72000,10.0,4000,9.32,0.06,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
22,52000,6.0,10000,11.71,0.19,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
26,60000,10.0,12500,6.92,0.21,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
44,99996,4.0,14400,12.23,0.14,16,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
31,118320,1.0,24250,12.53,0.2,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
43,400000,5.0,28000,9.91,0.07,11,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24,125000,6.0,4800,6.76,0.04,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
26,87000,6.0,15000,5.99,0.17,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
23,138000,1.0,5000,14.91,0.04,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
25,30000,8.0,1600,16.29,0.05,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
33,132444,4.0,2000,11.36,0.02,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
40,48000,1.0,6000,10.08,0.13,13,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
23,29000,7.0,6000,13.61,0.21,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
36,62400,0.0,2400,7.49,0.04,14,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25,60000,4.0,1200,13.49,0.02,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,73000,6.0,7500,15.99,0.1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22,62000,0.0,18000,13.85,0.29,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,25000,1.0,5000,9.88,0.2,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
25,125004,0.0,15000,7.88,0.12,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
22,47472,6.0,20000,11.83,0.42,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
27,87000,2.0,7200,9.63,0.08,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
27,28800,6.0,5000,14.96,0.17,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
22,57000,6.0,22000,9.63,0.39,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
37,55900,1.0,17000,8.7,0.3,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
25,32000,4.0,5100,8.38,0.16,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
40,32878,6.0,13775,12.98,0.42,14,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
27,41004,11.0,7800,11.14,0.19,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,68000,5.0,25000,14.09,0.37,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
40,45600,20.0,7000,6.62,0.15,17,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
22,16800,0.0,4750,13.85,0.28,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34,80300,3.0,15000,12.73,0.19,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
36,58000,12.0,21600,6.54,0.37,14,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
26,91000,10.0,5000,14.96,0.05,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,60000,4.0,3250,13.49,0.05,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
28,42000,12.0,10000,9.32,0.24,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
21,35000,2.0,7000,14.59,0.2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
38,39500,4.0,5000,13.22,0.13,14,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25,95000,4.0,8000,15.23,0.08,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
24,64000,8.0,8000,7.9,0.13,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
24,65000,5.0,9000,6.03,0.14,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
30,55000,1.0,6500,10.99,0.12,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
33,50000,2.0,1200,14.26,0.02,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
27,125000,5.0,10000,10.62,0.08,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
35,39996,4.0,8000,5.99,0.2,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
29,126000,2.0,6450,10.37,0.05,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
32,36000,4.0,5300,8.9,0.15,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
22,63800,7.0,25000,11.36,0.39,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,42000,5.0,11200,16.77,0.27,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
31,40000,2.0,8000,11.89,0.2,7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58,27000,0.0,3500,16.0,0.13,21,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,75000,6.0,15000,11.71,0.2,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
22,53500,2.0,10000,9.99,0.19,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
