person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
35000,4.0,2400,7.29,0.07,1,0,0,0,0,0,0,1,0
40320,4.0,8700,12.61,0.22,0,0,1,0,0,0,0,0,1
44500,4.0,9250,9.62,0.21,0,1,0,0,0,0,0,1,0
34000,4.0,3800,18.25,0.11,0,0,0,1,0,0,0,0,1
46704,2.0,9000,11.49,0.19,0,1,0,0,0,0,0,1,0
52000,6.0,4800,17.99,0.09,0,0,0,0,1,0,0,1,0
47000,6.0,19200,12.29,0.41,0,0,1,0,0,0,0,0,1
56000,6.0,5600,10.37,0.1,0,1,0,0,0,0,0,1,0
84000,5.0,20000,11.83,0.24,0,1,0,0,0,0,0,1,0
33600,12.0,3000,13.48,0.09,0,0,1,0,0,0,0,1,0
30000,6.0,6725,6.99,0.22,1,0,0,0,0,0,0,1,0
24000,1.0,5000,6.92,0.21,1,0,0,0,0,0,0,1,0
28000,2.0,12000,14.27,0.43,0,0,1,0,0,0,0,0,1
18000,5.0,3000,15.27,0.17,0,0,1,0,0,0,0,1,0
140000,18.0,7000,7.29,0.05,1,0,0,0,0,0,0,1,0
55000,0.0,6000,6.03,0.11,1,0,0,0,0,0,0,1,0
24480,0.0,4375,5.79,0.18,1,0,0,0,0,0,0,1,0
44004,1.0,11750,15.31,0.27,0,0,0,1,0,0,0,0,1
78000,6.0,16000,16.45,0.21,0,0,0,0,1,0,0,0,1
30000,2.0,3000,6.03,0.1,1,0,0,0,0,0,0,1,0
50000,2.0,2000,16.89,0.04,0,0,0,1,0,0,0,1,0
64600,8.0,8000,15.99,0.11,0,0,0,1,0,0,0,0,1
40000,5.0,7200,7.49,0.18,1,0,0,0,0,0,0,1,0
60000,13.0,1000,6.76,0.02,1,0,0,0,0,0,0,1,0
43000,7.0,13200,16.77,0.31,0,0,0,1,0,0,0,0,1
58800,5.0,25000,14.09,0.43,0,0,0,1,0,0,0,1,0
46000,0.0,3000,16.29,0.07,0,0,0,1,0,0,0,1,0
62000,9.0,3000,12.99,0.05,0,0,1,0,0,0,0,1,0
72500,2.0,9000,10.59,0.12,0,1,0,0,0,0,0,1,0
78996,5.0,6000,7.51,0.08,1,0,0,0,0,0,0,1,0
63996,8.0,12000,10.25,0.19,0,1,0,0,0,0,0,1,0
14400,2.0,4000,10.99,0.28,0,1,0,0,0,0,0,1,0
18000,3.0,8500,10.28,0.47,0,0,1,0,0,0,0,0,1
95000,2.0,35000,7.9,0.37,1,0,0,0,0,0,0,1,0
40000,3.0,1000,10.62,0.03,0,1,0,0,0,0,0,1,0
54000,5.0,3200,16.49,0.06,0,0,0,1,0,0,0,0,1
30000,5.0,8000,14.96,0.27,0,0,0,1,0,0,0,1,0
54000,2.0,2400,14.09,0.04,0,0,0,1,0,0,0,1,0
50750,2.0,10000,9.63,0.2,0,1,0,0,0,0,0,1,0
90000,6.0,6000,9.25,0.07,0,1,0,0,0,0,0,1,0
77200,4.0,22000,13.23,0.28,0,0,1,0,0,0,0,1,0
54000,2.0,20000,16.49,0.37,0,0,0,1,0,0,0,1,0
21000,1.0,7750,11.83,0.37,0,1,0,0,0,0,0,1,0
84000,11.0,8225,12.99,0.1,0,0,1,0,0,0,0,0,1
35000,18.0,1500,13.06,0.04,0,0,1,0,0,0,0,1,0
46000,13.0,5600,15.27,0.12,0,0,1,0,0,0,0,1,0
42900,5.0,12000,8.9,0.28,1,0,0,0,0,0,0,1,0
127000,6.0,21000,10.99,0.17,0,1,0,0,0,0,0,1,0
85920,3.0,12000,8.49,0.14,1,0,0,0,0,0,0,1,0
56000,7.0,8000,14.54,0.14,0,0,0,1,0,0,0,0,1
71500,2.0,10000,13.57,0.14,0,0,1,0,0,0,0,1,0
49700,3.0,15000,15.68,0.3,0,0,0,0,1,0,0,1,0
32240,3.0,15000,13.22,0.47,0,0,1,0,0,0,0,1,0
72000,5.0,6000,12.42,0.08,0,1,0,0,0,0,0,1,0
52500,7.0,11425,7.51,0.22,1,0,0,0,0,0,0,1,0
55560,5.0,1450,14.27,0.03,0,0,1,0,0,0,0,1,0
29435,8.0,12000,7.66,0.41,1,0,0,0,0,0,0,1,0
45000,2.0,14500,10.36,0.32,0,1,0,0,0,0,0,1,0
31000,1.0,6000,13.47,0.19,0,0,1,0,0,0,0,0,1
64000,2.0,12000,17.56,0.19,0,0,0,0,1,0,0,0,1
65993,3.0,9000,14.59,0.14,0,0,0,1,0,0,0,1,0
142000,0.0,7500,7.88,0.05,1,0,0,0,0,0,0,1,0
49992,5.0,8000,15.95,0.16,0,0,0,1,0,0,0,0,1
76000,2.0,1000,13.49,0.01,0,0,1,0,0,0,0,1,0
60000,1.0,9600,11.66,0.16,0,0,1,0,0,0,0,0,1
125000,10.0,10200,7.49,0.08,1,0,0,0,0,0,0,1,0
48500,0.0,15000,12.99,0.31,0,0,1,0,0,0,0,0,1
23000,4.0,3000,11.49,0.13,0,1,0,0,0,0,0,1,0
32000,4.0,10000,16.07,0.31,0,0,0,1,0,0,0,1,0
95000,1.0,19800,13.22,0.21,0,0,1,0,0,0,0,0,1
60000,6.0,4125,9.99,0.07,0,1,0,0,0,0,0,1,0
60000,0.0,4000,5.99,0.07,1,0,0,0,0,0,0,1,0
31000,8.0,9000,14.84,0.29,0,0,0,1,0,0,0,0,1
62004,5.0,8400,15.62,0.14,0,0,0,1,0,0,0,0,1
44000,4.0,2200,8.9,0.05,1,0,0,0,0,0,0,1,0
33000,11.0,1600,16.89,0.05,0,0,0,1,0,0,0,0,1
19200,0.0,5000,9.62,0.26,0,1,0,0,0,0,0,1,0
24000,8.0,8875,10.65,0.37,0,1,0,0,0,0,0,1,0
42252,3.0,8000,12.84,0.19,0,0,1,0,0,0,0,1,0
47000,5.0,10000,13.79,0.21,0,0,1,0,0,0,0,0,1
23868,0.0,7750,12.53,0.32,0,1,0,0,0,0,0,1,0
101000,6.0,25000,16.15,0.25,0,0,0,0,0,1,0,0,1
42000,2.0,10000,14.91,0.24,0,0,0,1,0,0,0,1,0
70000,3.0,9000,13.49,0.13,0,0,1,0,0,0,0,0,1
75000,3.0,10000,7.29,0.13,1,0,0,0,0,0,0,1,0
56100,9.0,20000,14.59,0.3,0,0,0,1,0,0,0,0,1
30400,2.0,10000,12.8,0.33,0,0,0,1,0,0,0,1,0
35000,2.0,15000,10.99,0.43,0,1,0,0,0,0,0,1,0
31200,2.0,6000,6.62,0.19,1,0,0,0,0,0,0,1,0
69000,7.0,9000,11.49,0.13,0,1,0,0,0,0,0,1,0
64800,4.0,6625,18.25,0.1,0,0,0,1,0,0,0,1,0
45000,2.0,11200,10.59,0.25,0,1,0,0,0,0,0,1,0
44000,5.0,8000,13.49,0.18,0,0,1,0,0,0,0,0,1
69846,2.0,22500,18.99,0.32,0,0,0,0,0,1,0,0,1
81000,14.0,34000,10.59,0.42,0,1,0,0,0,0,0,1,0
59964,0.0,1275,10.99,0.02,0,1,0,0,0,0,0,1,0
39000,9.0,5000,7.49,0.13,1,0,0,0,0,0,0,1,0
87500,8.0,10000,6.17,0.11,1,0,0,0,0,0,0,1,0
48000,2.0,25000,9.64,0.52,0,1,0,0,0,0,0,1,0
61402,7.0,10800,9.99,0.18,0,1,0,0,0,0,0,1,0
24500,4.0,8875,10.0,0.36,0,1,0,0,0,0,0,1,0
55000,3.0,19200,15.21,0.35,0,0,0,1,0,0,0,1,0
38000,2.0,12000,12.42,0.32,0,1,0,0,0,0,0,1,0
64800,9.0,4500,10.65,0.07,0,1,0,0,0,0,0,1,0
42996,7.0,12000,13.79,0.28,0,0,1,0,0,0,0,1,0
33600,1.0,3000,13.49,0.09,0,0,1,0,0,0,0,0,1
65000,3.0,6000,15.62,0.09,0,0,0,1,0,0,0,0,1
36000,7.0,1200,13.99,0.03,0,0,1,0,0,0,0,1,0
110000,0.0,10000,9.32,0.09,1,0,0,0,0,0,0,1,0
70000,4.0,10200,12.42,0.15,0,1,0,0,0,0,0,1,0
64000,14.0,11000,15.68,0.17,0,0,0,0,1,0,0,0,1
24996,2.0,13000,8.88,0.52,0,1,0,0,0,0,0,1,0
45000,3.0,9000,6.62,0.2,1,0,0,0,0,0,0,1,0
117000,7.0,3700,10.74,0.03,0,1,0,0,0,0,0,1,0
59712,0.0,24000,17.43,0.4,0,0,0,0,1,0,0,1,0
35500,6.0,2500,15.62,0.07,0,0,0,1,0,0,0,1,0
39000,3.0,16000,12.73,0.41,0,0,1,0,0,0,0,1,0
47000,3.0,6850,10.65,0.15,0,1,0,0,0,0,0,1,0
72250,0.0,25000,16.0,0.29,0,0,0,1,0,0,0,0,1
75000,0.0,12000,6.62,0.16,1,0,0,0,0,0,0,1,0
50000,6.0,16000,13.99,0.32,0,0,1,0,0,0,0,0,1
52800,8.0,9000,7.49,0.17,1,0,0,0,0,0,0,1,0
31000,4.0,8000,7.66,0.26,1,0,0,0,0,0,0,1,0
60000,7.0,21000,11.71,0.35,0,1,0,0,0,0,0,1,0
36000,7.0,6000,7.51,0.17,1,0,0,0,0,0,0,1,0
65000,7.0,5125,10.71,0.08,0,1,0,0,0,0,0,1,0
36500,0.0,18725,6.54,0.51,1,0,0,0,0,0,0,1,0
46000,8.0,29100,12.99,0.63,0,0,1,0,0,0,0,0,1
158004,0.0,25000,14.59,0.16,0,0,0,1,0,0,0,0,1
47000,8.0,14000,9.99,0.3,0,1,0,0,0,0,0,1,0
95000,1.0,24000,10.99,0.25,0,1,0,0,0,0,0,1,0
101000,2.0,7500,13.22,0.07,0,0,1,0,0,0,0,1,0
60000,0.0,2400,10.75,0.04,0,1,0,0,0,0,0,1,0
42000,3.0,9000,7.74,0.21,1,0,0,0,0,0,0,1,0
26000,5.0,12000,14.26,0.46,0,0,1,0,0,0,0,1,0
31000,2.0,12250,11.36,0.4,0,1,0,0,0,0,0,1,0
30000,3.0,5300,15.28,0.18,0,0,0,1,0,0,0,0,1
39000,2.0,12000,11.14,0.31,0,1,0,0,0,0,0,1,0
60000,3.0,20000,10.08,0.33,0,1,0,0,0,0,0,1,0
69000,3.0,10000,14.09,0.14,0,0,0,1,0,0,0,0,1
33500,4.0,6225,14.79,0.19,0,0,1,0,0,0,0,1,0
43200,5.0,12250,9.99,0.28,0,1,0,0,0,0,0,1,0
68000,12.0,7000,7.51,0.1,1,0,0,0,0,0,0,1,0
42000,2.0,6475,9.99,0.15,0,1,0,0,0,0,0,1,0
36000,13.0,10000,8.59,0.28,1,0,0,0,0,0,0,1,0
65000,3.0,12000,10.99,0.18,0,1,0,0,0,0,0,1,0
83000,7.0,2800,12.18,0.03,0,1,0,0,0,0,0,1,0
59000,4.0,10000,8.0,0.17,1,0,0,0,0,0,0,1,0
78000,0.0,19500,15.31,0.25,0,0,0,1,0,0,0,1,0
48996,8.0,5000,9.88,0.1,0,1,0,0,0,0,0,1,0
25200,3.0,6000,7.9,0.24,1,0,0,0,0,0,0,1,0
58000,5.0,21000,10.83,0.36,0,1,0,0,0,0,0,1,0
65000,11.0,24000,17.74,0.37,0,0,0,0,1,0,0,0,1
30000,0.0,6475,5.42,0.22,1,0,0,0,0,0,0,1,0
55164,8.0,25000,13.22,0.45,0,0,1,0,0,0,0,0,1
56972,6.0,15000,16.4,0.26,0,0,0,0,1,0,0,1,0
50000,1.0,16800,12.53,0.34,0,1,0,0,0,0,0,1,0
37000,3.0,15000,10.25,0.41,0,1,0,0,0,0,0,1,0
42000,5.0,5500,7.66,0.13,1,0,0,0,0,0,0,1,0
89250,6.0,7500,13.24,0.07,0,0,0,1,0,0,0,0,1
63996,5.0,6000,10.75,0.09,0,1,0,0,0,0,0,1,0
62900,6.0,12000,16.35,0.16,0,0,0,0,1,0,0,0,1
50000,4.0,18225,10.74,0.36,0,1,0,0,0,0,0,1,0
48000,7.0,4000,14.35,0.08,0,0,1,0,0,0,0,1,0
34400,9.0,5000,13.49,0.15,0,0,1,0,0,0,0,1,0
60000,1.0,7500,11.66,0.13,0,0,1,0,0,0,0,1,0
25000,1.0,9600,14.27,0.38,0,0,1,0,0,0,0,0,1
60000,0.0,10000,11.14,0.17,0,1,0,0,0,0,0,1,0
54000,6.0,10000,13.79,0.19,0,0,1,0,0,0,0,1,0
25000,4.0,8000,10.74,0.32,0,1,0,0,0,0,0,1,0
54000,12.0,15000,8.49,0.28,1,0,0,0,0,0,0,1,0
75000,9.0,9600,10.62,0.13,0,1,0,0,0,0,0,1,0
107000,2.0,17400,13.47,0.16,0,0,1,0,0,0,0,1,0
59004,1.0,15000,15.58,0.25,0,0,0,1,0,0,0,1,0
72000,7.0,9600,14.17,0.13,0,0,1,0,0,0,0,1,0
24000,14.0,5000,11.11,0.21,0,1,0,0,0,0,0,1,0
52000,7.0,7500,10.38,0.14,0,1,0,0,0,0,0,1,0
99600,6.0,5000,11.86,0.05,0,1,0,0,0,0,0,1,0
46344,0.0,3500,11.36,0.08,0,1,0,0,0,0,0,1,0
60000,9.0,15000,16.32,0.25,0,0,0,1,0,0,0,1,0
43300,4.0,8000,7.29,0.18,1,0,0,0,0,0,0,1,0
36000,2.0,17500,14.22,0.49,0,0,1,0,0,0,0,1,0
81000,10.0,6000,7.51,0.07,1,0,0,0,0,0,0,1,0
81000,0.0,24000,8.49,0.3,1,0,0,0,0,0,0,1,0
63500,9.0,12000,15.33,0.19,0,0,0,1,0,0,0,0,1
250000,11.0,9000,9.99,0.04,0,1,0,0,0,0,0,1,0
76000,13.0,20000,17.74,0.26,0,0,0,0,1,0,0,1,0
100000,7.0,10000,10.59,0.1,0,1,0,0,0,0,0,1,0
84996,0.0,16750,14.35,0.2,0,0,1,0,0,0,0,1,0
34000,3.0,9600,7.88,0.28,1,0,0,0,0,0,0,1,0
58650,0.0,5200,6.54,0.08,1,0,0,0,0,0,0,1,0
40800,3.0,2000,7.49,0.05,1,0,0,0,0,0,0,1,0
28000,0.0,1250,10.99,0.04,0,1,0,0,0,0,0,1,0
30000,0.0,7125,7.51,0.24,1,0,0,0,0,0,0,1,0
66996,4.0,13000,15.2,0.19,0,0,0,1,0,0,0,0,1
51000,9.0,5500,16.77,0.11,0,0,0,1,0,0,0,0,1
39000,6.0,14000,7.9,0.36,1,0,0,0,0,0,0,1,0
67500,5.0,3500,10.62,0.05,0,1,0,0,0,0,0,1,0
32000,10.0,9250,15.65,0.29,0,0,0,1,0,0,0,1,0
35000,1.0,5400,12.17,0.15,0,0,0,1,0,0,0,1,0
40000,3.0,25000,10.25,0.63,0,1,0,0,0,0,0,1,0
20000,2.0,4000,13.11,0.2,0,0,1,0,0,0,0,1,0
98004,5.0,2500,8.49,0.03,1,0,0,0,0,0,0,1,0
62000,3.0,9300,11.72,0.15,0,0,1,0,0,0,0,0,1
33000,5.0,4000,7.88,0.12,1,0,0,0,0,0,0,1,0
69700,4.0,13000,14.42,0.16,0,0,0,1,0,0,0,0,1
26000,2.0,7750,16.7,0.3,0,0,0,0,1,0,0,0,1
157500,4.0,25000,11.86,0.16,0,1,0,0,0,0,0,1,0
14400,3.0,8000,9.99,0.56,0,1,0,0,0,0,0,1,0
34800,0.0,7000,11.99,0.2,0,1,0,0,0,0,0,1,0
30960,5.0,5000,11.49,0.16,0,1,0,0,0,0,0,1,0
53004,10.0,5600,11.86,0.11,0,1,0,0,0,0,0,1,0
103000,6.0,25000,12.53,0.24,0,0,1,0,0,0,0,0,1
65000,3.0,10000,14.27,0.15,0,0,1,0,0,0,0,0,1
35004,1.0,9000,10.0,0.26,0,1,0,0,0,0,0,1,0
95000,8.0,6800,9.63,0.07,0,1,0,0,0,0,0,1,0
50100,11.0,6600,8.0,0.13,1,0,0,0,0,0,0,1,0
70872,4.0,15000,14.84,0.21,0,0,0,1,0,0,0,1,0
18000,5.0,3000,15.27,0.17,0,0,1,0,0,0,0,0,1
83800,2.0,25000,15.95,0.3,0,0,0,1,0,0,0,0,1
30000,2.0,12250,14.59,0.41,0,0,0,1,0,0,0,0,1
80000,14.0,10000,6.03,0.13,1,0,0,0,0,0,0,1,0
48996,8.0,15000,14.09,0.31,0,0,0,1,0,0,0,0,1
108000,10.0,24250,10.75,0.22,0,1,0,0,0,0,0,1,0
95000,6.0,12000,8.94,0.13,1,0,0,0,0,0,0,1,0
72000,2.0,12000,9.99,0.17,0,1,0,0,0,0,0,1,0
30000,6.0,1800,14.84,0.06,0,0,0,1,0,0,0,0,1
42500,7.0,11850,14.11,0.28,0,0,0,1,0,0,0,0,1
25000,3.0,5000,10.95,0.2,0,1,0,0,0,0,0,1,0
35496,3.0,6000,13.72,0.17,0,0,1,0,0,0,0,0,1
218000,4.0,7000,14.11,0.03,0,0,0,1,0,0,0,0,1
32000,2.0,14000,11.89,0.44,0,1,0,0,0,0,0,1,0
47004,12.0,3000,11.49,0.06,0,1,0,0,0,0,0,1,0
50004,8.0,4000,7.68,0.08,1,0,0,0,0,0,0,1,0
38000,10.0,4900,10.28,0.13,0,0,1,0,0,0,0,0,1
24000,0.0,4600,13.99,0.19,0,0,1,0,0,0,0,0,1
44000,2.0,8000,9.63,0.18,0,1,0,0,0,0,0,1,0
27600,2.0,2500,11.71,0.09,0,1,0,0,0,0,0,1,0
60000,0.0,25000,10.99,0.42,0,1,0,0,0,0,0,1,0
50000,2.0,5000,7.88,0.1,1,0,0,0,0,0,0,1,0
55000,10.0,15000,11.12,0.27,0,1,0,0,0,0,0,1,0
13200,0.0,2500,9.91,0.19,0,1,0,0,0,0,0,1,0
108000,11.0,35000,13.49,0.32,0,0,1,0,0,0,0,1,0
67746,8.0,33000,12.68,0.49,0,0,1,0,0,0,0,1,0
39000,0.0,7500,9.45,0.19,0,1,0,0,0,0,0,1,0
46976,5.0,11000,14.26,0.23,0,0,1,0,0,0,0,0,1
37000,0.0,15000,10.62,0.41,0,1,0,0,0,0,0,1,0
32900,4.0,4800,13.23,0.15,0,0,1,0,0,0,0,0,1
80000,5.0,6000,7.4,0.07,1,0,0,0,0,0,0,1,0
75000,9.0,4000,12.99,0.05,0,0,1,0,0,0,0,1,0
42000,1.0,8000,5.99,0.19,1,0,0,0,0,0,0,1,0
36000,3.0,18500,10.91,0.51,0,0,1,0,0,0,0,1,0
70000,2.0,9850,7.75,0.14,1,0,0,0,0,0,0,1,0
9600,4.0,2800,10.99,0.29,0,1,0,0,0,0,0,1,0
60000,1.0,5600,12.42,0.09,0,1,0,0,0,0,0,1,0
26400,1.0,10300,16.29,0.39,0,0,0,1,0,0,0,0,1
55000,3.0,6000,10.38,0.11,0,1,0,0,0,0,0,1,0
30000,0.0,13750,15.05,0.46,0,0,0,1,0,0,0,0,1
48000,8.0,6000,12.22,0.13,0,0,1,0,0,0,0,0,1
54000,12.0,6000,15.23,0.11,0,0,1,0,0,0,0,1,0
36000,2.0,5000,14.27,0.14,0,0,1,0,0,0,0,0,1
46000,3.0,12000,11.71,0.26,0,1,0,0,0,0,0,1,0
58800,11.0,5500,6.76,0.09,1,0,0,0,0,0,0,1,0
75000,7.0,10000,7.49,0.13,1,0,0,0,0,0,0,1,0
50000,4.0,5000,10.0,0.1,0,1,0,0,0,0,0,1,0
52000,1.0,10000,6.91,0.19,1,0,0,0,0,0,0,1,0
40000,2.0,2000,10.74,0.05,0,1,0,0,0,0,0,1,0
36000,1.0,7000,7.9,0.19,1,0,0,0,0,0,0,1,0
59354,5.0,9600,13.67,0.14,0,0,0,1,0,0,0,0,1
70000,0.0,8000,7.66,0.11,1,0,0,0,0,0,0,1,0
48000,1.0,6000,11.14,0.13,0,1,0,0,0,0,0,1,0
51000,8.0,16000,13.85,0.31,0,0,1,0,0,0,0,1,0
64000,0.0,8000,14.84,0.13,0,0,0,1,0,0,0,1,0
88000,3.0,6000,11.99,0.07,0,1,0,0,0,0,0,1,0
28000,0.0,8700,6.03,0.31,1,0,0,0,0,0,0,1,0
57800,2.0,25000,17.19,0.37,0,0,0,0,1,0,0,1,0
15600,1.0,4750,13.85,0.3,0,0,1,0,0,0,0,1,0
34800,7.0,9600,19.16,0.28,0,0,0,0,0,0,1,0,1
45000,6.0,4750,6.39,0.11,1,0,0,0,0,0,0,1,0
78000,12.0,24625,18.36,0.32,0,0,0,0,0,0,1,1,0
50400,9.0,12000,16.89,0.24,0,0,0,1,0,0,0,1,0
24000,3.0,3500,12.99,0.15,0,0,1,0,0,0,0,1,0
35004,6.0,18225,9.63,0.52,1,0,0,0,0,0,0,1,0
40000,2.0,17475,9.91,0.44,0,1,0,0,0,0,0,1,0
47110,0.0,11000,10.99,0.23,0,1,0,0,0,0,0,1,0
32352,6.0,1000,15.27,0.03,0,0,1,0,0,0,0,0,1
21000,7.0,7000,13.72,0.33,0,0,1,0,0,0,0,1,0
54400,3.0,23500,6.91,0.37,1,0,0,0,0,0,0,1,0
61000,2.0,20000,12.18,0.33,0,1,0,0,0,0,0,1,0
54000,5.0,4500,8.49,0.08,1,0,0,0,0,0,0,1,0
79200,1.0,11200,14.79,0.14,0,0,1,0,0,0,0,0,1
46000,11.0,13250,17.27,0.29,0,0,0,1,0,0,0,0,1
69000,3.0,10000,14.09,0.14,0,0,0,1,0,0,0,0,1
19200,2.0,6250,7.51,0.33,1,0,0,0,0,0,0,1,0
66000,9.0,15000,14.42,0.23,0,0,0,1,0,0,0,1,0
84000,1.0,8000,16.45,0.1,0,0,0,0,1,0,0,1,0
26453,6.0,7200,11.71,0.27,0,1,0,0,0,0,0,1,0
55000,8.0,6000,11.99,0.11,0,1,0,0,0,0,0,1,0
60000,0.0,1200,7.66,0.02,1,0,0,0,0,0,0,1,0
98000,2.0,7925,10.59,0.08,0,1,0,0,0,0,0,1,0
46500,0.0,9500,12.69,0.2,0,1,0,0,0,0,0,1,0
30000,2.0,12000,13.72,0.4,0,0,1,0,0,0,0,1,0
46000,2.0,25000,11.86,0.54,0,0,0,1,0,0,0,1,0
65000,3.0,6500,5.79,0.1,1,0,0,0,0,0,0,1,0
60000,6.0,1600,11.66,0.03,0,0,1,0,0,0,0,1,0
75000,2.0,20000,12.18,0.27,0,1,0,0,0,0,0,1,0
30000,3.0,10000,13.49,0.33,0,0,1,0,0,0,0,1,0
50000,1.0,7500,8.94,0.15,1,0,0,0,0,0,0,1,0
42000,6.0,10800,16.29,0.26,0,0,0,1,0,0,0,0,1
76042,6.0,20000,15.05,0.26,0,0,0,1,0,0,0,0,1
62400,7.0,2300,11.71,0.04,0,1,0,0,0,0,0,1,0
44400,6.0,2350,13.98,0.05,0,0,1,0,0,0,0,0,1
90000,2.0,9600,13.85,0.11,0,0,1,0,0,0,0,0,1
111917,1.0,25000,15.31,0.22,0,0,0,1,0,0,0,1,0
119700,2.0,9500,8.94,0.08,1,0,0,0,0,0,0,1,0
60000,11.0,7500,11.03,0.13,0,0,1,0,0,0,0,0,1
35000,3.0,2400,12.53,0.07,0,1,0,0,0,0,0,1,0
42000,1.0,20000,12.99,0.48,0,0,0,1,0,0,0,1,0
75000,6.0,8000,15.99,0.11,0,0,0,1,0,0,0,1,0
40000,4.0,14000,15.58,0.35,0,0,0,1,0,0,0,0,1
72000,8.0,14000,14.65,0.19,0,0,1,0,0,0,0,0,1
18000,2.0,3000,12.69,0.17,0,1,0,0,0,0,0,1,0
26000,1.0,15000,9.76,0.58,0,1,0,0,0,0,0,1,0
60350,1.0,25000,15.95,0.35,0,0,0,1,0,0,0,1,0
45000,16.0,6000,10.99,0.13,0,1,0,0,0,0,0,1,0
50000,6.0,8000,11.12,0.16,0,1,0,0,0,0,0,1,0
38000,4.0,7000,15.99,0.18,0,0,0,1,0,0,0,1,0
52500,2.0,20000,10.37,0.38,0,1,0,0,0,0,0,1,0
39300,5.0,2500,16.29,0.06,0,0,0,1,0,0,0,0,1
69000,0.0,14000,10.14,0.2,0,1,0,0,0,0,0,1,0
48000,0.0,20000,10.62,0.42,0,1,0,0,0,0,0,1,0
45996,0.0,11000,14.74,0.24,0,0,0,1,0,0,0,0,1
25000,1.0,1600,9.99,0.06,0,1,0,0,0,0,0,1,0
